Cycle,t,t-1,t-2,diameter
60,135.556,135.722,136.889,14
61,134.444,135.556,135.722,14
62,133.833,134.444,135.556,14
63,132.722,133.833,134.444,14
64,131.833,132.722,133.833,14
65,130.5,131.833,132.722,14
66,129.778,130.5,131.833,14
67,128.389,129.778,130.5,14
68,127.667,128.389,129.778,14
69,126.167,127.667,128.389,14
70,125.556,126.167,127.667,14
71,124.333,125.556,126.167,14
72,123.833,124.333,125.556,14
73,122.889,123.833,124.333,14
74,121.944,122.889,123.833,14
75,121,121.944,122.889,14
76,119.722,121,121.944,14
77,119.278,119.722,121,14
78,118.111,119.278,119.722,14
79,117.889,118.111,119.278,14
80,117.111,117.889,118.111,14
81,116.056,117.111,117.889,14
82,114.833,116.056,117.111,14
83,113.889,114.833,116.056,14
84,113.5,113.889,114.833,14
85,112.944,113.5,113.889,14
86,112.278,112.944,113.5,14
87,111.278,112.278,112.944,14
88,110,111.278,112.278,14
89,109.556,110,111.278,14
90,108.667,109.556,110,14
91,108.167,108.667,109.556,14
92,107.778,108.167,108.667,14
93,106.667,107.778,108.167,14
94,105.389,106.667,107.778,14
95,105.111,105.389,106.667,14
96,104.833,105.111,105.389,14
97,103.944,104.833,105.111,14
98,103.111,103.944,104.833,14
99,102.444,103.111,103.944,14
100,102.222,102.444,103.111,14
101,101.667,102.222,102.444,14
102,100.889,101.667,102.222,14
103,100,100.889,101.667,14
104,99.556,100,100.889,14
105,98.944,99.556,100,14
106,98.556,98.944,99.556,14
107,97.556,98.556,98.944,14
108,96.833,97.556,98.556,14
109,96.222,96.833,97.556,14
110,95.444,96.222,96.833,14
111,94.667,95.444,96.222,14
112,94.222,94.667,95.444,14
113,93.5,94.222,94.667,14
114,93.222,93.5,94.222,14
115,92.722,93.222,93.5,14
116,92.167,92.722,93.222,14
117,91.611,92.167,92.722,14
118,91,91.611,92.167,14
119,90.778,91,91.611,14
120,90.556,90.778,91,14
121,89.889,90.556,90.778,14
122,89.5,89.889,90.556,14
123,88.889,89.5,89.889,14
124,88.444,88.889,89.5,14
125,88.056,88.444,88.889,14
126,89.167,88.056,88.444,14
127,90.222,89.167,88.056,14
128,90.111,90.222,89.167,14
129,90.111,90.111,90.222,14
130,90.111,90.111,90.111,14
131,89.667,90.111,90.111,14
132,89.056,89.667,90.111,14
133,88.778,89.056,89.667,14
134,88.278,88.778,89.056,14
135,87.667,88.278,88.778,14
136,87.222,87.667,88.278,14
137,86.778,87.222,87.667,14
138,86.389,86.778,87.222,14
139,87,86.389,86.778,14
140,88.167,87,86.389,14
141,88.5,88.167,87,14
142,88.5,88.5,88.167,14
143,88.056,88.5,88.5,14
144,87.889,88.056,88.5,14
145,87.889,87.889,88.056,14
146,88.889,87.889,87.889,14
147,89.667,88.889,87.889,14
148,90.222,89.667,88.889,14
149,91.444,90.222,89.667,14
150,92.611,91.444,90.222,14
151,93.222,92.611,91.444,14
152,94.222,93.222,92.611,14
153,95.333,94.222,93.222,14
154,95.944,95.333,94.222,14
155,95.889,95.944,95.333,14
156,94.889,95.889,95.944,14
157,94.278,94.889,95.889,14
,,94.278,94.889,
1,141.6389,,94.278,
2,265.7361,141.6389,,15
3,297.7083,265.7361,141.6389,15
4,331.7917,297.7083,265.7361,15
5,339.9444,331.7917,297.7083,15
6,338.6667,339.9444,331.7917,15
7,339.0694,338.6667,339.9444,15
8,330.4306,339.0694,338.6667,15
9,326.8056,330.4306,339.0694,15
10,331.7778,326.8056,330.4306,15
11,297.5833,331.7778,326.8056,15
12,257.25,297.5833,331.7778,15
13,246.5,257.25,297.5833,15
14,240.6667,246.5,257.25,15
15,236.3333,240.6667,246.5,15
16,233.0833,236.3333,240.6667,15
17,230.6667,233.0833,236.3333,15
18,227.4167,230.6667,233.0833,15
19,226.5,227.4167,230.6667,15
20,224.75,226.5,227.4167,15
21,222.9167,224.75,226.5,15
22,221.5833,222.9167,224.75,15
23,219.6667,221.5833,222.9167,15
24,217.6667,219.6667,221.5833,15
25,217,217.6667,219.6667,15
26,215.8333,217,217.6667,15
27,214.3333,215.8333,217,15
28,213.1667,214.3333,215.8333,15
29,211.75,213.1667,214.3333,15
30,210.5833,211.75,213.1667,15
31,208.5833,210.5833,211.75,15
32,207.3333,208.5833,210.5833,15
33,206.0833,207.3333,208.5833,15
34,204.5,206.0833,207.3333,15
35,203.4167,204.5,206.0833,15
36,201.4167,203.4167,204.5,15
37,199.75,201.4167,203.4167,15
38,198.8333,199.75,201.4167,15
39,197.6667,198.8333,199.75,15
40,195.6667,197.6667,198.8333,15
41,193.8333,195.6667,197.6667,15
42,192.5833,193.8333,195.6667,15
43,191.0833,192.5833,193.8333,15
44,189.4167,191.0833,192.5833,15
45,187.3333,189.4167,191.0833,15
46,185.75,187.3333,189.4167,15
47,183.9167,185.75,187.3333,15
48,182,183.9167,185.75,15
49,180.0833,182,183.9167,15
50,178.5,180.0833,182,15
51,177,178.5,180.0833,15
52,174.75,177,178.5,15
53,173,174.75,177,15
54,171.25,173,174.75,15
55,169.8333,171.25,173,15
56,167.9167,169.8333,171.25,15
57,166.8333,167.9167,169.8333,15
58,165.5,166.8333,167.9167,15
59,162.8333,165.5,166.8333,15
60,161.6667,162.8333,165.5,15
61,159.5,161.6667,162.8333,15
62,153.9167,159.5,161.6667,15
63,157.0833,153.9167,159.5,15
64,155.9167,157.0833,153.9167,15
65,154.5,155.9167,157.0833,15
66,153.4167,154.5,155.9167,15
67,152.0833,153.4167,154.5,15
68,150.8333,152.0833,153.4167,15
69,149.8333,150.8333,152.0833,15
70,147.9167,149.8333,150.8333,15
71,146.6667,147.9167,149.8333,15
72,145.5,146.6667,147.9167,15
73,144.3333,145.5,146.6667,15
74,143.3333,144.3333,145.5,15
75,142.1667,143.3333,144.3333,15
76,140.75,142.1667,143.3333,15
77,139.5,140.75,142.1667,15
78,138.5833,139.5,140.75,15
79,137,138.5833,139.5,15
80,136.6667,137,138.5833,15
81,135.6667,136.6667,137,15
82,134.25,135.6667,136.6667,15
83,132.9167,134.25,135.6667,15
84,132.3333,132.9167,134.25,15
85,131.4167,132.3333,132.9167,15
86,129.6667,131.4167,132.3333,15
87,129.1667,129.6667,131.4167,15
88,128.25,129.1667,129.6667,15
89,126.8333,128.25,129.1667,15
90,126.4167,126.8333,128.25,15
91,125,126.4167,126.8333,15
92,124.0833,125,126.4167,15
93,122.5,124.0833,125,15
94,122.75,122.5,124.0833,15
95,122.0833,122.75,122.5,15
96,121.5833,122.0833,122.75,15
97,120.5833,121.5833,122.0833,15
98,119.5833,120.5833,121.5833,15
99,119.4167,119.5833,120.5833,15
100,118,119.4167,119.5833,15
101,117.5,118,119.4167,15
102,116.75,117.5,118,15
103,115.9167,116.75,117.5,15
104,115.0833,115.9167,116.75,15
105,114.5,115.0833,115.9167,15
106,114,114.5,115.0833,15
107,113.25,114,114.5,15
108,112.5833,113.25,114,15
109,112,112.5833,113.25,15
110,111.3333,112,112.5833,15
111,110.75,111.3333,112,15
112,110.3333,110.75,111.3333,15
113,109.4167,110.3333,110.75,15
114,108.75,109.4167,110.3333,15
115,108.0833,108.75,109.4167,15
116,107.25,108.0833,108.75,15
117,106.6667,107.25,108.0833,15
118,106.5833,106.6667,107.25,15
119,105.4167,106.5833,106.6667,15
120,105.3333,105.4167,106.5833,15
121,103.5,105.3333,105.4167,15
122,103.6667,103.5,105.3333,15
123,103.1667,103.6667,103.5,15
124,102.75,103.1667,103.6667,15
125,102.25,102.75,103.1667,15
126,101.3333,102.25,102.75,15
127,101.1667,101.3333,102.25,15
128,100.5833,101.1667,101.3333,15
129,100.0833,100.5833,101.1667,15
130,99.6667,100.0833,100.5833,15
131,99.1667,99.6667,100.0833,15
132,98.8333,99.1667,99.6667,15
133,98.3333,98.8333,99.1667,15
134,97.6667,98.3333,98.8333,15
135,97.4167,97.6667,98.3333,15
136,97.0833,97.4167,97.6667,15
137,96.8333,97.0833,97.4167,15
138,96.25,96.8333,97.0833,15
139,96,96.25,96.8333,15
140,95.9167,96,96.25,15
141,95.0833,95.9167,96,15
142,94.5,95.0833,95.9167,15
143,94.3333,94.5,95.0833,15
144,42.9167,94.3333,94.5,15
,,42.9167,94.3333,
1,314.3333,,42.9167,
2,364,314.3333,,16
3,375.9861,364,314.3333,16
4,370.6389,375.9861,364,16
5,357.6111,370.6389,375.9861,16
6,344.5139,357.6111,370.6389,16
7,330.3056,344.5139,357.6111,16
8,324.3611,330.3056,344.5139,16
9,324.2778,324.3611,330.3056,16
10,324.6389,324.2778,324.3611,16
11,289.5,324.6389,324.2778,16
12,264.3333,289.5,324.6389,16
13,257.75,264.3333,289.5,16
14,254.5,257.75,264.3333,16
15,251.75,254.5,257.75,16
16,249.5833,251.75,254.5,16
17,247.8333,249.5833,251.75,16
18,245.75,247.8333,249.5833,16
19,244.0833,245.75,247.8333,16
20,242.3333,244.0833,245.75,16
21,241.0833,242.3333,244.0833,16
22,240.75,241.0833,242.3333,16
23,239.5,240.75,241.0833,16
24,238.75,239.5,240.75,16
25,237.4167,238.75,239.5,16
26,236.5833,237.4167,238.75,16
27,235.3333,236.5833,237.4167,16
28,234.1667,235.3333,236.5833,16
29,232.1667,234.1667,235.3333,16
30,232.1667,232.1667,234.1667,16
31,231.1667,232.1667,232.1667,16
32,229.75,231.1667,232.1667,16
33,228.5,229.75,231.1667,16
34,227.0833,228.5,229.75,16
35,226.0833,227.0833,228.5,16
36,224.9167,226.0833,227.0833,16
37,223.6667,224.9167,226.0833,16
38,222.3333,223.6667,224.9167,16
39,221.3333,222.3333,223.6667,16
40,220.0833,221.3333,222.3333,16
41,218.9167,220.0833,221.3333,16
42,217.5,218.9167,220.0833,16
43,216.3333,217.5,218.9167,16
44,214.9167,216.3333,217.5,16
45,213.3333,214.9167,216.3333,16
46,211.9167,213.3333,214.9167,16
47,210.75,211.9167,213.3333,16
48,209.4167,210.75,211.9167,16
49,207.4167,209.4167,210.75,16
50,206.0833,207.4167,209.4167,16
51,204.6667,206.0833,207.4167,16
52,203,204.6667,206.0833,16
53,201.5833,203,204.6667,16
54,199.9167,201.5833,203,16
55,198.3333,199.9167,201.5833,16
56,196.8333,198.3333,199.9167,16
57,195.4167,196.8333,198.3333,16
58,193.6667,195.4167,196.8333,16
59,192.4167,193.6667,195.4167,16
60,190.75,192.4167,193.6667,16
61,189.5833,190.75,192.4167,16
62,188,189.5833,190.75,16
63,186.4167,188,189.5833,16
64,185.1667,186.4167,188,16
65,183.75,185.1667,186.4167,16
66,181.75,183.75,185.1667,16
67,181,181.75,183.75,16
68,179.5,181,181.75,16
69,178,179.5,181,16
70,176.9167,178,179.5,16
71,175.5,176.9167,178,16
72,174.5,175.5,176.9167,16
73,172.6667,174.5,175.5,16
74,171,172.6667,174.5,16
75,170.75,171,172.6667,16
76,169.4167,170.75,171,16
77,168.1667,169.4167,170.75,16
78,167.3333,168.1667,169.4167,16
79,166,167.3333,168.1667,16
80,165,166,167.3333,16
81,163.8333,165,166,16
82,162.75,163.8333,165,16
83,161.75,162.75,163.8333,16
84,160.5833,161.75,162.75,16
85,159.5833,160.5833,161.75,16
86,158.8333,159.5833,160.5833,16
87,157.9167,158.8333,159.5833,16
88,156.75,157.9167,158.8333,16
89,155.8333,156.75,157.9167,16
90,154.9167,155.8333,156.75,16
91,154.25,154.9167,155.8333,16
92,152.5,154.25,154.9167,16
93,152.3333,152.5,154.25,16
94,151.3333,152.3333,152.5,16
95,150.75,151.3333,152.3333,16
96,149.9167,150.75,151.3333,16
97,149.0833,149.9167,150.75,16
98,148.4167,149.0833,149.9167,16
99,147.5,148.4167,149.0833,16
100,146.6667,147.5,148.4167,16
